target_type,target_id,weights,signal,count,avg_5d_momentum,hit_rate
INDUSTRY,85,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,43,0.9864546970227636,60.46511627906976
INDUSTRY,86,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,2,6.596027096239132,100.0
INDUSTRY,86,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,42,0.9829709974308646,61.904761904761905
INDUSTRY,87,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,8,6.385551418166152,100.0
INDUSTRY,87,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,36,1.2921605374993725,55.55555555555556
INDUSTRY,88,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,3,4.80014955729251,100.0
INDUSTRY,88,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,41,1.1769319807127128,73.17073170731707
INDUSTRY,89,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,7,6.4962834067201145,100.0
INDUSTRY,89,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,37,0.8890524053920028,51.35135135135135
INDUSTRY,90,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,13,7.7765102877844985,100.0
