date,STRONG_BUY_count_5d,STRONG_BUY_hit_rate_5d,STRONG_BUY_avg_return_5d,STRONG_BUY_count_10d,STRONG_BUY_hit_rate_10d,STRONG_BUY_avg_return_10d,STRONG_BUY_count_20d,STRONG_BUY_hit_rate_20d,STRONG_BUY_avg_return_20d,BUY_count_5d,BUY_hit_rate_5d,BUY_avg_return_5d,BUY_count_10d,BUY_hit_rate_10d,BUY_avg_return_10d,BUY_count_20d,BUY_hit_rate_20d,BUY_avg_return_20d,HOLD_count_5d,HOLD_hit_rate_5d,HOLD_avg_return_5d,HOLD_count_10d,HOLD_hit_rate_10d,HOLD_avg_return_10d,HOLD_count_20d,HOLD_hit_rate_20d,HOLD_avg_return_20d,SELL_count_5d,SELL_hit_rate_5d,SELL_avg_return_5d,SELL_count_10d,SELL_hit_rate_10d,SELL_avg_return_10d,SELL_count_20d,SELL_hit_rate_20d,SELL_avg_return_20d,idx_momentum_3d,idx_momentum_5d,idx_momentum_10d
2025-05-20,2,100.0,17.284194537384302,2,100.0,27.297436533412977,2,0.0,,7,100.0,7.995539500716098,7,100.0,14.234101226533214,7,0.0,,60,93.33333333333333,1.8743071435954561,60,96.66666666666667,4.28744664691688,60,0.0,,143,96.5034965034965,-2.8043510279022756,143,60.13986013986013,-0.8023697263200553,143,0.0,,-0.7461775566881323,-0.2537934841781553,1.6411502506064934
2025-05-19,3,100.0,17.62976483211746,3,100.0,24.199449960911938,3,0.0,,16,100.0,5.531138052337245,16,100.0,8.32761393606117,16,0.0,,160,23.125,-1.3437652894893002,160,59.375,0.6239478180769003,160,0.0,,33,100.0,-5.908137355087469,33,90.9090909090909,-4.44069156692989,33,0.0,,-1.4068932086632846,-0.14996183835570553,1.8309401903301659
2025-05-16,2,100.0,25.034308687166952,2,100.0,25.615216513561897,2,0.0,,3,100.0,18.877836355861533,3,100.0,21.58675319578481,3,0.0,,6,100.0,7.0545315457796045,6,100.0,9.024180963370268,6,0.0,,201,45.27363184079602,0.4227213211112092,201,40.79601990049751,0.4957171653205749,201,0.0,,0.7073247406475858,1.9245170277076173,2.3953192849513805
2025-05-15,4,100.0,20.190781152135536,4,100.0,22.271509355079992,4,0.0,,1,100.0,10.220623622726421,1,100.0,17.034706552758337,1,0.0,,17,100.0,5.4565616917926905,17,100.0,9.17308002227248,17,0.0,,190,36.84210526315789,0.5326018056377222,190,23.684210526315788,1.698505187715824,190,0.0,,0.5380983611587453,1.6235830477460578,2.8444088729863592
2025-05-14,1,100.0,28.30910487584881,1,100.0,37.31488969859858,1,0.0,,2,100.0,19.107923540318893,2,100.0,18.595172871170476,2,0.0,,5,100.0,10.687000184790264,5,100.0,14.694403325824407,5,0.0,,204,22.058823529411764,1.9233601425122753,204,16.666666666666664,2.718603699480203,204,0.0,,2.4560872551187884,2.5942186650089294,3.7022346149314656
2025-05-13,2,100.0,15.902054455591074,2,100.0,19.296686275520926,2,0.0,,4,100.0,12.913445657085695,4,100.0,11.844861747421891,4,0.0,,41,100.0,5.681608754881591,41,100.0,6.600156057692462,41,0.0,,165,27.27272727272727,1.098810450216387,165,20.0,2.0253348113334835,165,0.0,,1.1219315520957673,1.899765215115301,3.413114065169909
2025-05-12,2,100.0,15.122394018209794,2,100.0,15.112324894744255,2,0.0,,11,100.0,7.696680523707278,11,100.0,10.34123373903427,11,0.0,,94,100.0,3.4013440955607406,94,96.80851063829788,4.287400574300062,94,0.0,,105,41.904761904761905,-0.0016121156037579186,105,31.428571428571427,1.1995998834617152,105,0.0,,1.3027430258761186,1.9838770872365963,3.237697777918558
2025-05-09,3,100.0,13.842319623653344,3,100.0,12.855794621219161,3,0.0,,13,100.0,5.4761605663134185,13,100.0,10.889799277266304,13,0.0,,127,68.50393700787401,0.8037793497129901,127,94.48818897637796,3.5366994836718537,127,0.0,,69,95.65217391304348,-2.6317858447011857,69,56.52173913043478,-0.5593408532847508,69,0.0,,0.6828685165580106,0.46191266927051444,3.6446771547147927
2025-05-08,1,100.0,26.138058370480888,1,100.0,12.572842141471874,1,0.0,,5,100.0,10.123344116315742,5,100.0,13.555934867950683,5,0.0,,49,97.95918367346938,4.15637405961831,49,100.0,7.574903413546603,49,0.0,,157,40.76433121019109,0.10352012462073935,157,26.751592356687897,1.073541069504588,157,0.0,,0.8945439468671434,1.2013213750460938,3.6593501097081704
2025-05-07,1,100.0,20.381103091769546,1,100.0,15.248951214232553,1,0.0,,0,-,-,0,-,-,0,-,-,19,100.0,6.22883840095189,19,100.0,9.599021737464678,19,0.0,,192,45.83333333333333,0.24980279939239947,192,19.791666666666664,2.171477167939045,192,0.0,,0.3266521661170474,1.0799984290931874,3.6393360768617544
2025-05-02,7,100.0,10.13627299645827,7,100.0,11.969747377598143,7,0.0,,21,100.0,5.57099642827078,21,100.0,8.629695175167786,21,0.0,,80,97.5,1.654049642133759,80,100.0,4.0706165137477015,80,0.0,,104,80.76923076923077,-1.2235916657564574,104,36.53846153846153,0.41459988973928,104,0.0,,0.42881915836883167,1.4851347761791756,3.618022919272512
2025-04-30,6,100.0,11.746751395450575,6,100.0,16.471808306545345,6,0.0,,7,100.0,7.004818395540645,7,100.0,11.324462515521594,7,0.0,,61,100.0,3.2585425078733974,61,100.0,6.942510278196457,61,0.0,,138,57.2463768115942,-0.5960447411224236,138,13.768115942028986,2.7079065099841313,138,0.0,,0.4049012292345777,1.229430304566126,4.461006034901938
